date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2020-08-28,VXX,2026-05-08,US/Eastern,23.95,27.7,23.64,25.58,172180019,1.63,6.81,3.86,-73.82,4.06,0.16,16.95,24.41,27.36,33.19
2020-09-04,VXX,2026-05-08,US/Eastern,26.3,34.08,25.68,28.92,335739341,2.62,9.96,13.06,-70.4,8.4,0.29,31.94,94.99,27.11,33.68
2020-09-11,VXX,2026-05-08,US/Eastern,31.24,31.5,25.49,25.52,183623946,-5.72,-18.31,-11.76,-73.88,6.01,0.24,19.24,-45.31,26.45,34.08
2020-09-18,VXX,2026-05-08,US/Eastern,25.17,25.81,23.67,24.37,151325840,-0.8,-3.18,-4.51,-75.06,2.14,0.09,8.5,-17.59,25.86,34.39
2020-09-25,VXX,2026-05-08,US/Eastern,25.4,27.0,25.04,25.54,143531896,0.14,0.55,4.8,-73.86,1.95,0.08,7.7,-5.15,25.71,34.49
2020-10-02,VXX,2026-05-08,US/Eastern,25.33,26.38,24.29,25.78,120790493,0.45,1.78,0.94,-73.61,2.09,0.08,8.25,-15.84,25.76,34.35
2020-10-09,VXX,2026-05-08,US/Eastern,25.53,25.8,22.28,22.29,129475660,-3.24,-12.69,-13.54,-77.19,3.52,0.16,13.79,7.19,25.43,33.65
2020-10-16,VXX,2026-05-08,US/Eastern,21.9,23.1,21.58,22.27,140317866,0.37,1.69,-0.09,-77.21,1.52,0.07,6.94,8.37,24.96,32.38
2020-10-23,VXX,2026-05-08,US/Eastern,22.15,23.41,21.94,22.17,126331602,0.02,0.09,-0.45,-77.31,1.47,0.07,6.64,-9.97,23.99,31.43
2020-10-30,VXX,2026-05-08,US/Eastern,22.7,27.77,22.47,26.53,249219635,3.83,16.87,19.67,-72.85,5.3,0.2,23.34,97.27,24.14,30.8
