date,digital_ccy_code,market_code,dt_last_refreshed,time_zone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,intraday_volatility_pct,moving_avg_7d,moving_avg_30d
2020-03-23,BTC,USD,2026-05-11,UTC,5836.56,6500.7,5769.09,6467.46,48057935733.18,630.9,10.81,10.68,12934818.08,731.61,12.54,5934.38,7503.44
2020-03-24,BTC,USD,2026-05-11,UTC,6465.06,6776.05,6390.8,6736.04,41093254549.53,270.99,4.19,4.15,13471989.97,385.25,5.96,6130.62,7397.18
2020-03-25,BTC,USD,2026-05-11,UTC,6740.89,6909.43,6509.14,6681.34,37094888214.33,-59.55,-0.88,-0.81,13362573.19,400.29,5.94,6318.59,7297.75
2020-03-26,BTC,USD,2026-05-11,UTC,6679.4,6750.8,6563.68,6736.29,29627849180.96,56.89,0.85,0.82,13472483.56,187.12,2.8,6400.91,7210.34
2020-03-27,BTC,USD,2026-05-11,UTC,6736.95,6820.94,6377.75,6377.75,28806208012.94,-359.2,-5.33,-5.32,12755399.13,443.19,6.58,6427.41,7128.62
2020-03-28,BTC,USD,2026-05-11,UTC,6378.66,6378.66,6073.04,6239.84,27085157179.31,-138.82,-2.18,-2.16,12479577.66,305.62,4.79,6440.27,7044.09
2020-03-29,BTC,USD,2026-05-11,UTC,6241.96,6241.96,5908.11,5917.3,23647684302.31,-324.66,-5.2,-5.17,11834494.15,333.85,5.35,6450.86,6950.28
2020-03-30,BTC,USD,2026-05-11,UTC,5900.01,6546.93,5877.93,6424.08,27021350124.51,524.07,8.88,8.56,12848056.89,669.0,11.34,6444.66,6878.77
2020-03-31,BTC,USD,2026-05-11,UTC,6397.72,6496.83,6358.76,6431.26,27431559375.46,33.55,0.52,0.11,12862424.83,138.08,2.16,6401.12,6807.89
2020-04-01,BTC,USD,2026-05-11,UTC,6419.06,6601.95,6176.88,6598.29,25637412066.59,179.23,2.79,2.6,13196474.03,425.07,6.62,6389.26,6731.17
2020-04-02,BTC,USD,2026-05-11,UTC,6591.47,7112.02,6572.99,6807.47,35949707671.36,216.0,3.28,3.17,13614830.28,539.03,8.18,6399.43,6665.67
2020-04-03,BTC,USD,2026-05-11,UTC,6797.84,7009.43,6630.44,6733.75,37167518958.51,-64.09,-0.94,-1.08,13467395.47,378.99,5.58,6450.28,6598.48
2020-04-04,BTC,USD,2026-05-11,UTC,6733.67,6867.94,6693.18,6847.73,27880150848.35,114.06,1.69,1.69,13695360.11,174.76,2.6,6537.12,6525.03
2020-04-05,BTC,USD,2026-05-11,UTC,6847.45,6874.53,6710.02,6789.73,25269670113.01,-57.71,-0.84,-0.85,13579364.33,164.51,2.4,6661.76,6447.05
2020-04-06,BTC,USD,2026-05-11,UTC,6789.73,7291.0,6789.73,7279.16,31594108803.0,489.43,7.21,7.21,14558223.58,501.27,7.38,6783.91,6393.05
2020-04-07,BTC,USD,2026-05-11,UTC,7317.03,7428.31,7122.74,7198.77,39144962205.88,-118.26,-1.62,-1.1,14397440.38,305.56,4.18,6893.56,6364.92
2020-04-08,BTC,USD,2026-05-11,UTC,7197.67,7376.15,7171.11,7352.33,32753738688.83,154.66,2.15,2.13,14704557.54,205.04,2.85,7001.28,6346.14
2020-04-09,BTC,USD,2026-05-11,UTC,7350.85,7355.68,7166.89,7293.58,28609068744.73,-57.26,-0.78,-0.8,14587068.72,188.79,2.57,7070.72,6325.9
2020-04-10,BTC,USD,2026-05-11,UTC,7287.83,7291.26,6773.43,6859.83,32004749572.41,-428.0,-5.87,-5.95,13719567.47,517.83,7.11,7088.73,6290.18
2020-04-11,BTC,USD,2026-05-11,UTC,6870.16,6930.59,6773.98,6869.59,30015475132.19,-0.57,-0.01,0.14,13739073.1,156.61,2.28,7091.86,6361.69
2020-04-12,BTC,USD,2026-05-11,UTC,6873.74,7151.8,6797.61,6977.23,25365748775.63,103.49,1.51,1.57,13954361.27,354.19,5.15,7118.64,6410.31
2020-04-13,BTC,USD,2026-05-11,UTC,6925.83,6925.83,6651.14,6837.42,31953029026.48,-88.41,-1.28,-2.0,13674745.08,274.69,3.97,7055.54,6464.46
2020-04-14,BTC,USD,2026-05-11,UTC,6841.81,6956.21,6778.25,6856.18,28504195497.14,14.37,0.21,0.27,13712258.19,177.96,2.6,7006.6,6513.61
2020-04-15,BTC,USD,2026-05-11,UTC,6860.03,6915.83,6629.92,6637.79,26821228375.74,-222.23,-3.24,-3.19,13275483.63,285.91,4.17,6904.52,6567.45
2020-04-16,BTC,USD,2026-05-11,UTC,6632.63,7136.02,6531.44,7088.8,33497785088.7,456.17,6.88,6.79,14177498.98,604.58,9.12,6875.26,6625.0
2020-04-17,BTC,USD,2026-05-11,UTC,7095.72,7127.52,7028.62,7034.54,30376034250.39,-61.18,-0.86,-0.77,14068980.72,98.9,1.39,6900.22,6680.63
2020-04-18,BTC,USD,2026-05-11,UTC,7038.54,7258.39,7038.54,7233.16,24783424486.78,194.61,2.76,2.82,14466214.85,219.85,3.12,6952.16,6716.4
2020-04-19,BTC,USD,2026-05-11,UTC,7238.81,7238.81,7084.17,7133.15,25713381019.62,-105.67,-1.46,-1.38,14266197.36,154.64,2.14,6974.43,6747.76
2020-04-20,BTC,USD,2026-05-11,UTC,7130.8,7193.47,6802.73,6856.79,26956989050.53,-274.02,-3.84,-3.87,13713471.91,390.74,5.48,6977.2,6771.33
2020-04-21,BTC,USD,2026-05-11,UTC,6850.01,6909.39,6793.92,6851.01,29393938160.5,0.99,0.01,-0.08,13701910.72,115.47,1.69,6976.46,6804.92
2020-04-22,BTC,USD,2026-05-11,UTC,6848.63,7127.93,6828.23,7106.55,24916975279.05,257.92,3.77,3.73,14213002.35,299.7,4.38,7043.43,6826.22
2020-04-23,BTC,USD,2026-05-11,UTC,7114.28,7612.47,7043.73,7464.89,30103580671.25,350.61,4.93,5.04,14929682.25,568.74,7.99,7097.15,6850.52
2020-04-24,BTC,USD,2026-05-11,UTC,7470.51,7584.59,7430.22,7497.35,31706852571.21,26.85,0.36,0.43,14994606.79,154.37,2.07,7163.27,6877.72
2020-04-25,BTC,USD,2026-05-11,UTC,7499.6,7600.65,7452.97,7535.26,25858610305.7,35.66,0.48,0.51,15070427.79,147.68,1.97,7206.43,6904.35
2020-04-26,BTC,USD,2026-05-11,UTC,7536.12,7667.01,7529.54,7665.83,24111822559.9,129.71,1.72,1.73,15331556.64,137.47,1.82,7282.53,6947.29
2020-04-27,BTC,USD,2026-05-11,UTC,7676.11,7766.69,7651.24,7766.69,27154195067.96,90.58,1.18,1.32,15533279.52,115.45,1.5,7412.51,6998.18
2020-04-28,BTC,USD,2026-05-11,UTC,7772.74,7772.74,7668.77,7754.22,25836558088.1,-18.52,-0.24,-0.16,15508344.85,103.97,1.34,7541.54,7059.41
2020-04-29,BTC,USD,2026-05-11,UTC,7747.51,8878.88,7731.96,8759.79,34278610731.34,1012.28,13.07,12.97,17519478.38,1146.92,14.8,7777.72,7137.27
