date,symbol,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d,dt_last_refreshed
7/5/02,VTI,US/Eastern,93,93,87.16,92.39,585000,-0.61,-0.66,-0.44,-20.63,5.84,0.06,6.28,-57.83,95.82,102.28,
7/12/02,VTI,US/Eastern,92.4,92.55,84.25,86.45,586900,-5.95,-6.44,-6.43,-25.73,8.3,0.1,8.98,0.32,93.68,101.71,
7/19/02,VTI,US/Eastern,84.8,86.65,79.38,79.7,1307800,-5.1,-6.01,-7.81,-31.53,7.27,0.09,8.57,122.83,90.79,100.85,
7/26/02,VTI,US/Eastern,79.2,80.4,73.09,80,2586100,0.8,1.01,0.38,-31.27,7.31,0.09,9.23,97.74,88.4,99.95,
8/2/02,VTI,US/Eastern,82.15,85.49,80.26,80.95,1065700,-1.2,-1.46,1.19,-30.46,5.23,0.06,6.37,-58.79,86.47,99.05,
8/9/02,VTI,US/Eastern,80.6,85.45,78.2,84.8,1164500,4.2,5.21,4.76,-27.15,7.25,0.09,9,9.27,85.3,98.35,
8/16/02,VTI,US/Eastern,83.8,87.49,82.15,86.75,428600,2.95,3.52,2.3,-25.47,5.34,0.06,6.37,-63.19,84.43,97.77,
8/23/02,VTI,US/Eastern,86.85,90.26,86.85,88.15,975600,1.3,1.5,1.61,-24.27,3.41,0.04,3.93,127.62,83.83,97.22,
8/30/02,VTI,US/Eastern,88.3,89.2,84.56,85.71,1053100,-2.59,-2.93,-2.77,-26.37,4.64,0.05,5.25,7.94,83.72,96.62,
9/6/02,VTI,US/Eastern,84.3,84.55,81.95,84.2,1029700,-0.1,-0.12,-1.76,-27.66,2.6,0.03,3.08,-2.22,84.37,96.05,
9/13/02,VTI,US/Eastern,83.5,86.49,82.5,83.6,1296600,0.1,0.12,-0.71,-28.18,3.99,0.05,4.78,25.92,84.88,95.42,
9/20/02,VTI,US/Eastern,83.58,84.9,79.1,79.54,825400,-4.04,-4.83,-4.86,-31.67,5.8,0.07,6.94,-36.34,84.68,94.72,
9/27/02,VTI,US/Eastern,79,80.63,77.01,78.01,516500,-0.99,-1.25,-1.92,-32.98,3.62,0.05,4.58,-37.42,83.71,93.83,
10/4/02,VTI,US/Eastern,76.71,79.9,74.4,75.32,560000,-1.39,-1.81,-3.45,-35.29,5.5,0.07,7.17,8.42,82.08,92.75,
10/11/02,VTI,US/Eastern,75.3,78.7,72,78.23,1773900,2.93,3.89,3.86,-32.79,6.7,0.09,8.9,216.77,80.66,91.76,
10/18/02,VTI,US/Eastern,77.45,82.64,77.4,82.37,3230600,4.92,6.35,5.29,-29.24,5.24,0.06,6.77,82.12,80.18,90.94,
10/25/02,VTI,US/Eastern,81.85,84.02,81.45,83.84,496500,1.99,2.43,1.78,-27.97,2.57,0.03,3.14,-84.63,80.13,90.2,
11/1/02,VTI,US/Eastern,84.6,84.6,80.97,84.2,385500,-0.4,-0.47,0.43,-27.66,3.63,0.04,4.29,-22.36,80.22,89.53,
11/8/02,VTI,US/Eastern,85.45,86.4,83.24,83.4,633800,-2.05,-2.4,-0.95,-28.35,3.16,0.04,3.7,64.41,80.77,88.84,
11/15/02,VTI,US/Eastern,83.1,85.21,81.59,85,1366900,1.9,2.29,1.92,-26.98,3.62,0.04,4.36,115.67,81.77,88.17,
11/22/02,VTI,US/Eastern,85.8,87.6,83.49,87.1,1003200,1.3,1.52,2.47,-25.17,4.11,0.05,4.79,-26.61,83.45,87.72,
11/29/02,VTI,US/Eastern,87.1,88.25,85.43,87.45,374700,0.35,0.4,0.4,-24.87,2.82,0.03,3.24,-62.65,84.77,87.27,
12/6/02,VTI,US/Eastern,89.08,89.4,84.11,85.52,611000,-3.56,-4,-2.21,-26.53,5.29,0.06,5.94,63.06,85.22,86.82,
