country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Bahamas,2024,Latin America and the Caribbean,88,36089.0,Low Confidence,2024,42,17421.0,Very Low Confidence,2024,15,6174.0,Very Low Confidence,26.54,2024,Celsius,2024,Latin America & Caribbean,High Income,,2024,39455.4466548546,2023,39.9040959040959,2020,1794500.0,2023,100.0,2024,401283.0,145,59684.0,60.47,29.19,10.34,Household,4.47,4,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0
Barbados,2024,Latin America and the Caribbean,88,24646.0,Low Confidence,2024,42,11897.0,Very Low Confidence,2024,15,4216.0,Very Low Confidence,26.88,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,26544.8707282621,2023,656.595348837209,2019,966000.0,2023,100.0,2024,282467.0,145,40759.0,60.47,29.19,10.34,Household,3.42,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Belize,2024,Latin America and the Caribbean,53,21596.0,Medium Confidence,2024,48,19494.0,Very Low Confidence,2024,19,7792.0,Very Low Confidence,26.43,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,7681.24400583113,2023,18.0230600613766,2020,487000.0,2023,99.6,2024,417072.0,120,48882.0,44.18,39.88,15.94,Household,1.17,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Bolivia (Plurin. State of),2024,Latin America and the Caribbean,90,1101625.0,Low Confidence,2024,48,583696.0,Very Low Confidence,2024,13,162803.0,Very Low Confidence,21.96,2024,Celsius,2024,Latin America & Caribbean,Lower Middle Income,IBRD,2024,4421.16609889999,2023,11.3026483891812,2020,323299.987792969,2023,99.8,2024,12413315.0,151,1848124.0,59.61,31.58,8.81,Household,0.03,2,Medium (10M-50M),Warm (20°C-25°C),Low GDP per Capita,9,100.0
"Bonaire, St. Eustatius & Saba",2024,Latin America and the Caribbean,95,2838.0,Very Low Confidence,2024,23,685.0,Very Low Confidence,2024,14,432.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,3955.0,71.76,17.32,10.92,Household,,,,,,2,100.00000000000001
Brazil,2024,Latin America and the Caribbean,94,20289630.0,Medium Confidence,2024,48,10237337.0,Very Low Confidence,2024,3,574161.0,Medium Confidence,25.92,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,10310.5488778166,2023,25.2616884857157,2019,6353000.0,2023,99.8,2024,211998573.0,145,31101128.0,65.24,32.92,1.85,Household,0.03,3,Very Large (>100M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.00999999999999
British Virgin Islands,2024,Latin America and the Caribbean,88,2641.0,Low Confidence,2024,42,1275.0,Very Low Confidence,2024,15,452.0,Very Low Confidence,,,,2024,Latin America & Caribbean,High Income,,,,2023,259.9,2020,83000.0,2023,100.0,2024,39471.0,145,4368.0,60.46,29.19,10.35,Household,2.1,4,Very Small (<1M),,,7,100.0
Cayman Islands,2024,Latin America and the Caribbean,88,6162.0,Low Confidence,2024,42,2974.0,Very Low Confidence,2024,15,1054.0,Very Low Confidence,28.64,2024,Celsius,2024,Latin America & Caribbean,High Income,,2023,99143.5180243123,2023,304.325,2020,660000.0,2023,100.0,2024,74457.0,145,10190.0,60.47,29.19,10.34,Household,8.86,4,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0
Chile,2024,Latin America and the Caribbean,88,1725226.0,Low Confidence,2024,42,832815.0,Very Low Confidence,2024,15,295144.0,Very Low Confidence,10.06,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,16709.8893972307,2023,26.4647249005172,2019,5431000.0,2023,100.0,2024,19764771.0,145,2853185.0,60.47,29.19,10.34,Household,0.27,4,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Colombia,2024,Latin America and the Caribbean,70,3653302.0,Medium Confidence,2024,48,2466261.0,Very Low Confidence,2024,19,985795.0,Very Low Confidence,25.32,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,7919.20886825345,2023,47.1574150518251,2020,1396000.0,2023,98.7,2024,52886363.0,137,7105358.0,51.42,34.71,13.87,Household,0.03,3,Large (50M-100M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Costa Rica,2024,Latin America and the Caribbean,91,473131.0,Low Confidence,2024,48,246293.0,Very Low Confidence,2024,19,98446.0,Very Low Confidence,25.41,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,18587.1532203482,2023,99.9906972189581,2020,1146500.0,2023,100.0,2024,5129910.0,158,817870.0,57.85,30.11,12.04,Household,0.22,4,Small (1M-10M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Cuba,2024,Latin America and the Caribbean,91,1023900.0,Low Confidence,2024,48,533001.0,Very Low Confidence,2024,19,213047.0,Very Low Confidence,26.69,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,,2020,9605.27914559614,2023,106.165038535645,2020,1086000.0,2023,100.0,2024,10979783.0,158,1769948.0,57.85,30.11,12.04,Household,0.1,3,Medium (10M-50M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
