sector,source,year,region,m49_code,country,household_kg_per_capita_year,household_tonnes_year,confidence_in_estimate
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,380,Italy,107,6317280,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,470,Malta,92,48760,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,499,Montenegro,86,54051,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,807,North Macedonia,86,179311,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,620,Portugal,124,1273480,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,674,San Marino,82,2474,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,688,Serbia,108,780482,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,705,Slovenia,36,76320,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Southern Europe,724,Spain,61,2895272,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,24,Angola,89,3171950,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,204,Benin,89,1189816,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,72,Botswana,50,132594,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,854,Burkina Faso,92,2085610,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,108,Burundi,92,1185863,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,132,Cabo Verde,89,52584,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,120,Cameroon,89,2487472,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,140,Central African Republic,92,513353,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,148,Chad,92,1630217,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,174,Comoros,89,74865,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,178,Congo,89,532075,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,384,Côte d’Ivoire,89,2509753,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,180,Dem. Rep. of the Congo,62,6147778,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,262,Djibouti,89,99820,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,226,Equatorial Guinea,90,150824,Low Confidence
