DataSource,Country,Reason
Access to Electricity,Switzerland,Direct Match
Access to Electricity,Syrian Arab Republic,Direct Match
Access to Electricity,Tajikistan,Direct Match
Access to Electricity,Thailand,Direct Match
Access to Electricity,Timor-Leste,Direct Match
Access to Electricity,Togo,Direct Match
Access to Electricity,Tonga,Direct Match
Access to Electricity,Trinidad and Tobago,Direct Match
Access to Electricity,Tunisia,Direct Match
Access to Electricity,Turkmenistan,Direct Match
Access to Electricity,Turks and Caicos Islands,Direct Match
Access to Electricity,Tuvalu,Direct Match
Access to Electricity,Uganda,Direct Match
Access to Electricity,Ukraine,Direct Match
Access to Electricity,United Arab Emirates,Direct Match
Access to Electricity,United Kingdom,Direct Match
Access to Electricity,Uruguay,Direct Match
Access to Electricity,Uzbekistan,Direct Match
Access to Electricity,Vanuatu,Direct Match
Access to Electricity,Viet Nam,Direct Match
Access to Electricity,Zambia,Direct Match
Access to Electricity,Zimbabwe,Direct Match
CO2 Emissions,Albania,Direct Match
CO2 Emissions,Algeria,Direct Match
CO2 Emissions,Argentina,Direct Match
CO2 Emissions,Australia,Direct Match
CO2 Emissions,Austria,Direct Match
CO2 Emissions,Azerbaijan,Direct Match
CO2 Emissions,Belarus,Direct Match
CO2 Emissions,Belgium,Direct Match
CO2 Emissions,Benin,Direct Match
CO2 Emissions,Bosnia and Herzegovina,Direct Match
CO2 Emissions,Brazil,Direct Match
CO2 Emissions,Brunei Darussalam,Direct Match
CO2 Emissions,Bulgaria,Direct Match
CO2 Emissions,Cambodia,Direct Match
CO2 Emissions,Canada,Direct Match
CO2 Emissions,Chile,Direct Match
CO2 Emissions,China,Direct Match
CO2 Emissions,Colombia,Direct Match
CO2 Emissions,Croatia,Direct Match
CO2 Emissions,Cuba,Direct Match
CO2 Emissions,Czechia,Direct Match
CO2 Emissions,Denmark,Direct Match
CO2 Emissions,Dominica,Direct Match
CO2 Emissions,Dominican Republic,Direct Match
CO2 Emissions,Ecuador,Direct Match
CO2 Emissions,Estonia,Direct Match
CO2 Emissions,Ethiopia,Direct Match
CO2 Emissions,Faroe Islands,Direct Match
CO2 Emissions,France,Direct Match
CO2 Emissions,Gabon,Direct Match
CO2 Emissions,Germany,Direct Match
CO2 Emissions,Gibraltar,Direct Match
CO2 Emissions,Greece,Direct Match
CO2 Emissions,Greenland,Direct Match
CO2 Emissions,Guyana,Direct Match
CO2 Emissions,Honduras,Direct Match
CO2 Emissions,Hungary,Direct Match
CO2 Emissions,Iceland,Direct Match
CO2 Emissions,Indonesia,Direct Match
CO2 Emissions,Ireland,Direct Match
CO2 Emissions,Italy,Direct Match
CO2 Emissions,Jamaica,Direct Match
CO2 Emissions,Japan,Direct Match
CO2 Emissions,Jordan,Direct Match
CO2 Emissions,Kazakhstan,Direct Match
CO2 Emissions,Kenya,Direct Match
CO2 Emissions,Kuwait,Direct Match
CO2 Emissions,Latvia,Direct Match
CO2 Emissions,Lebanon,Direct Match
CO2 Emissions,Lithuania,Direct Match
CO2 Emissions,Malaysia,Direct Match
CO2 Emissions,Maldives,Direct Match
CO2 Emissions,Mali,Direct Match
CO2 Emissions,Malta,Direct Match
CO2 Emissions,Mauritius,Direct Match
CO2 Emissions,Mexico,Direct Match
CO2 Emissions,Mongolia,Direct Match
CO2 Emissions,Myanmar,Direct Match
CO2 Emissions,Netherlands,Direct Match
CO2 Emissions,New Zealand,Direct Match
CO2 Emissions,North Macedonia,Direct Match
CO2 Emissions,Norway,Direct Match
CO2 Emissions,Palau,Direct Match
CO2 Emissions,Papua New Guinea,Direct Match
CO2 Emissions,Paraguay,Direct Match
CO2 Emissions,Peru,Direct Match
CO2 Emissions,Philippines,Direct Match
CO2 Emissions,Poland,Direct Match
CO2 Emissions,Portugal,Direct Match
CO2 Emissions,Qatar,Direct Match
CO2 Emissions,Romania,Direct Match
CO2 Emissions,Singapore,Direct Match
CO2 Emissions,Slovenia,Direct Match
CO2 Emissions,Spain,Direct Match
CO2 Emissions,Suriname,Direct Match
CO2 Emissions,Sweden,Direct Match
CO2 Emissions,Switzerland,Direct Match
CO2 Emissions,Thailand,Direct Match
CO2 Emissions,Timor-Leste,Direct Match
CO2 Emissions,Togo,Direct Match
CO2 Emissions,Ukraine,Direct Match
CO2 Emissions,United Kingdom,Direct Match
CO2 Emissions,Uruguay,Direct Match
CO2 Emissions,Viet Nam,Direct Match
Food Service Estimates,Afghanistan,Direct Match
Food Service Estimates,Albania,Direct Match
Food Service Estimates,Algeria,Direct Match
Food Service Estimates,American Samoa,Direct Match
Food Service Estimates,Andorra,Direct Match
Food Service Estimates,Angola,Direct Match
Food Service Estimates,Anguilla,Direct Match
Food Service Estimates,Antigua and Barbuda,Direct Match
Food Service Estimates,Argentina,Direct Match
Food Service Estimates,Armenia,Direct Match
Food Service Estimates,Aruba,Direct Match
Food Service Estimates,Australia,Direct Match
Food Service Estimates,Austria,Direct Match
Food Service Estimates,Azerbaijan,Direct Match
Food Service Estimates,Bahamas,Direct Match
Food Service Estimates,Bahrain,Direct Match
Food Service Estimates,Bangladesh,Direct Match
Food Service Estimates,Barbados,Direct Match
Food Service Estimates,Belarus,Direct Match
Food Service Estimates,Belgium,Direct Match
Food Service Estimates,Belize,Direct Match
Food Service Estimates,Benin,Direct Match
Food Service Estimates,Bermuda,Direct Match
Food Service Estimates,Bhutan,Direct Match
Food Service Estimates,Bolivia (Plurin. State of),Direct Match
