sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,583,Micronesia (Fed. States of),31,3425,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,520,Nauru,21,206,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,580,Northern Mariana Islands,21,1029,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Micronesia,585,Palau,31,614,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,12,Algeria,31,1398071,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,818,Egypt,31,3455944,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,434,Libya,31,209068,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,504,Morocco,31,1166408,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,729,Sudan,31,1459412,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,788,Tunisia,31,384859,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Africa,732,Western Sahara,23,13234,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern America,60,Bermuda,49,2919,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern America,124,Canada,80,3064632,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern America,304,Greenland,49,2919,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern America,666,Saint Pierre and Miquelon,23,228,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern America,840,United States of America,74,24939986,High Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,208,Denmark,11,64680,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,233,Estonia,8,10640,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,234,Faroe Islands,18,885,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,246,Finland,14,77560,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,352,Iceland,18,6547,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,372,Ireland,36,180720,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,833,Isle of Man,18,1415,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,428,Latvia,19,35150,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,440,Lithuania,2,5500,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,578,Norway,18,97740,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,752,Sweden,9,94950,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Northern Europe,826,United Kingdom,16,1093662,High Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,16,American Samoa,21,823,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,184,Cook Islands,23,456,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,258,French Polynesia,21,6382,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,570,Niue,23,,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,882,Samoa,31,6850,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,772,Tokelau,23,,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,776,Tonga,31,3377,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,798,Tuvalu,31,307,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Polynesia,876,Wallis and Futuna Islands,23,228,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,96,Brunei Darussalam,35,15776,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,116,Cambodia,40,676397,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,360,Indonesia,40,11051710,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,418,Lao People's Dem. Rep.,40,303713,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,458,Malaysia,50,1681049,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,104,Myanmar,40,2185282,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,608,Philippines,40,4660966,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,702,Singapore,35,209651,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,South-eastern Asia,764,Thailand,40,2876253,Very Low Confidence
